,0
ещё,0.0
робкий,3.228826155721369
прочитать,1.7819071727850435
всадник,3.228826155721369
дементьев,2.217225244042889
встретить,2.6692103677859462
нобелевский,2.6692103677859462
передача,3.228826155721369
беречь,3.005682604407159
всё,0.0
считать,2.0501711593797225
смочь,2.312535423847214
эмоция,2.6692103677859462
это,0.2456726643742379
вечный,1.7819071727850435
надо,1.2829160066660557
советский,0.0
простор,3.5165082281731497
сильный,0.0
толчок,3.5165082281731497
забросить,2.312535423847214
рано,1.7247487589450947
пустынный,3.228826155721369
крокодил,2.6692103677859462
таинственный,2.41789593950504
коробейник,3.9219733362813143
музыка,0.0
но,0.36662527479190044
право,0.0
скучно,2.6692103677859462
храм,2.8233610476132043
поиск,0.030153038170687457
алексей,1.7247487589450947
начинаться,2.312535423847214
чудодерево,2.8233610476132043
несмело,2.6692103677859462
андрей,1.3962446919730587
публикация,0.0
буревестник,3.5165082281731497
ирония,2.6692103677859462
ленинград,2.8233610476132043
седой,2.6692103677859462
сборник,0.0
море,1.670681537674819
могила,2.312535423847214
определение,3.5165082281731497
уважать,2.8233610476132043
пловец,3.5165082281731497
просто,0.8309308829229982
враг,3.228826155721369
конкурс,0.0
давид,2.130213867053259
гора,1.4796263009121098
хяйям,0.0
как,0.17246926035094298
ссылка,0.0
подвиг,3.005682604407159
бес,3.005682604407159
подруга,0.0
присоединиться,3.9219733362813143
хранить,2.41789593950504
окунуться,3.5165082281731497
корень,2.217225244042889
штучка,3.5165082281731497
стиховевгений,0.0
любовь,0.0
тургенев,2.5356789751614235
памятник,0.0
прозаседавшийся,3.5165082281731497
туча,1.7819071727850435
голос,1.9070703157390494
она,0.6448286032891376
приморский,2.8233610476132043
хотеться,1.9760631872260008
бармалей,2.8233610476132043
картина,2.6692103677859462
визбора,2.8233610476132043
зинка,3.005682604407159
трудный,2.0501711593797225
небо,1.2478246868547855
игра,2.5356789751614235
армия,0.0
агния,0.0
птичка,2.312535423847214
если,0.030153038170687457
грустный,0.0
любить,0.0
очень,0.3956128116651528
грустно,2.0501711593797225
ангел,2.130213867053259
царский,3.5165082281731497
игорев,3.228826155721369
переплт,3.228826155721369
май,2.0501711593797225
звезда,1.7247487589450947
красный,1.9070703157390494
толстой,2.130213867053259
агашина,3.228826155721369
чернила,3.9219733362813143
войти,2.312535423847214
сын,1.3570239788197773
разбудить,2.130213867053259
творчество,0.0
илья,1.7247487589450947
неинтересный,2.8233610476132043
родина,0.0
задуматься,2.130213867053259
мировой,2.41789593950504
достучаться,3.5165082281731497
мама,0.0
село,2.5356789751614235
качалов,2.5356789751614235
можно,1.1811333123561132
отрекаться,3.228826155721369
почта,2.8233610476132043
скалолазка,3.5165082281731497
одический,3.5165082281731497
уж,1.6193882432872684
гореть,2.312535423847214
общественный,0.0
достояние,0.0
обзор,0.0
арсений,2.6692103677859462
шёпот,3.228826155721369
сердце,0.9775343571148737
вы,0.0
елена,1.3192836508369303
железный,0.0
пленник,3.005682604407159
копирование,0.0
живой,1.5240780634829436
гармоника,3.228826155721369
почувствовать,3.9219733362813143
банька,3.228826155721369
книгопродавец,3.5165082281731497
привередливый,3.5165082281731497
гордость,2.5356789751614235
дик,2.6692103677859462
деревня,2.130213867053259
михалков,0.0
современный,0.0
он,0.3524406397999441
бородино,0.0
парус,0.0
август,2.41789593950504
бахчисарайский,3.005682604407159
защитить,0.0
ребёнок,0.0
совершать,3.005682604407159
писатель,1.5705980791178364
нате,3.5165082281731497
несжатый,3.228826155721369
муса,2.41789593950504
бой,2.130213867053259
божий,1.9070703157390494
трамвай,3.5165082281731497
делать,1.5705980791178364
ли,1.2829160066660557
похожий,1.7247487589450947
тушновый,0.0
михаил,0.0
фонарь,0.0
погаснуть,2.6692103677859462
саша,0.0
достоевский,2.8233610476132043
литературный,0.0
сидеть,2.130213867053259
чёрный,0.0
маяковский,0.0
лермонтов,0.0
глаз,1.5240780634829436
тэуфия,3.9219733362813143
ольга,1.3962446919730587
семь,2.8233610476132043
сыпь,3.005682604407159
ценный,3.9219733362813143
выезд,3.5165082281731497
прохожий,2.6692103677859462
исповедь,2.217225244042889
плакать,1.5705980791178364
завещание,3.005682604407159
гой,2.6692103677859462
дедушка,0.0
душа,0.9775343571148737
онегин,0.0
цветок,1.6193882432872684
целое,3.5165082281731497
благинина,0.0
никто,1.4796263009121098
окуджава,0.0
тройка,3.005682604407159
евгений,0.0
вервочко,2.8233610476132043
скиф,3.5165082281731497
мгла,1.9760631872260008
вместо,2.8233610476132043
мойдодыра,3.005682604407159
два,1.0597724553518457
рубцов,2.217225244042889
по,0.0
северянин,2.6692103677859462
наследие,3.5165082281731497
мочь,0.0
смоленщина,2.8233610476132043
ребёночек,2.41789593950504
мадонна,3.5165082281731497
весь,0.5042466526679482
гимнастика,3.5165082281731497
гармония,3.228826155721369
нищий,2.5356789751614235
с,0.0
вдохновлять,2.5356789751614235
классика,0.0404095383378767
тучкина,3.5165082281731497
оставить,2.41789593950504
марина,0.0
некрасивый,3.005682604407159
желаемый,0.0404095383378767
посидеть,3.005682604407159
сокол,3.228826155721369
наш,0.7439195059333684
ведь,1.7247487589450947
бросить,2.8233610476132043
отговорить,2.41789593950504
тематика,0.0
мандельштам,2.312535423847214
батальон,2.8233610476132043
ручей,2.41789593950504
книга,1.670681537674819
поэтовклассик,3.5165082281731497
телевизор,3.005682604407159
зарубежный,0.0
улица,0.0
гряда,2.6692103677859462
марк,3.5165082281731497
дёргать,3.9219733362813143
на,0.0
равнодушный,2.8233610476132043
спасибо,0.951558870711613
рыжий,3.228826155721369
артиллерист,3.005682604407159
дмитрий,1.6193882432872684
утро,0.0
успенский,0.0
рать,3.5165082281731497
анненский,2.8233610476132043
когда,0.6261364702769852
братский,3.005682604407159
дворняга,3.228826155721369
под,0.951558870711613
твардовский,0.0
самойлов,2.217225244042889
аптека,0.0
гумилёв,0.0
поляна,3.005682604407159
безумно,2.6692103677859462
клеветник,3.005682604407159
сказка,0.0
блок,0.0
встреча,2.312535423847214
тропинка,2.8233610476132043
время,1.1186129553747792
бабушказабота,3.005682604407159
война,0.0
татьяна,0.0
потайной,3.9219733362813143
расул,2.217225244042889
сам,1.149384614041533
теперь,1.3570239788197773
гроза,2.0501711593797225
ты,0.0
подражание,2.8233610476132043
медный,3.5165082281731497
ничего,2.312535423847214
любим,2.130213867053259
свежий,2.6692103677859462
возвращаться,3.9219733362813143
дама,2.6692103677859462
ель,3.9219733362813143
который,0.8084580270709397
злиться,2.6692103677859462
стоить,1.7819071727850435
белый,1.6193882432872684
булат,2.130213867053259
от,0.7439195059333684
морской,2.41789593950504
айболит,3.005682604407159
опубликовать,0.0
русалка,2.41789593950504
карамзин,3.228826155721369
источник,0.0
поэзия,1.1811333123561132
и,0.0
обмануть,2.8233610476132043
лиза,2.5356789751614235
москваодесса,3.5165082281731497
стихипопулярный,0.0
тютчев,0.0
любя,2.6692103677859462
былой,2.5356789751614235
подъезд,3.5165082281731497
школьник,2.0501711593797225
баратынский,2.41789593950504
бабушка,0.0
пророк,0.0
сукин,3.005682604407159
дешёвый,3.5165082281731497
высота,2.6692103677859462
что,0.0
облако,2.130213867053259
силентиум,3.9219733362813143
спокойный,0.0
послушать,2.8233610476132043
чумазый,3.005682604407159
охота,3.005682604407159
классно,2.6692103677859462
вчера,2.312535423847214
учиться,2.217225244042889
статья,0.0
вероника,0.0
пиндемонтить,3.5165082281731497
мудро,3.005682604407159
страдать,2.41789593950504
басня,0.0
рф,0.0
первоначальный,2.8233610476132043
любимый,0.8539204011476971
